,Identifier,RMSE
313,MS-DAR-00185-000-00198_north,0.00044657518178164746
314,MS-DAR-00012-000-00057_south,0.000447383895561334
315,MS-DAR-00003-000-00387_south,0.00044938596182053463
316,MS-DAR-00004-000-00378_north,0.0004548932058021777
317,MS-DAR-00205-00006-000-00021_north,0.00045684337104102133
318,MS-DAR-00185-000-00538_south,0.00045898330192468875
319,MS-DAR-00004-000-00290_north,0.00046230520136129476
320,MS-DAR-00209-00008-000-00128_south,0.00046232126482534077
321,MS-DAR-00053-00001-000-00269_north,0.00046985292476233614
322,MS-DAR-00185-000-00363_south,0.00046997075851657795
323,MS-DAR-00004-000-00564_north,0.0004701509680767194
324,MS-DAR-00004-000-00230_south,0.00047565870602422634
325,MS-DAR-00060-00002-000-00172_south,0.00048379238310718024
326,MS-DAR-00004-000-00138_north,0.0004842635073682206
327,MS-DAR-00069-000-00245_south,0.0004873452755778428
328,MS-DAR-00057-000-00071_north,0.0004882896212443785
329,MS-DAR-00053-00001-000-00296_north,0.0004895463164367324
330,MS-DAR-00157-A-000-00187_north,0.0004951406420020788
331,MS-DAR-00012-000-00304_south,0.0004958975299578115
332,MS-DAR-00053-00001-000-00298_south,0.0004968900153366563
333,MS-DAR-00205-00005-000-00400_south,0.0004970747233851225
334,MS-DAR-00124-000-00023_south,0.0005006607793384116
335,MS-DAR-00004-000-00564_south,0.0005046060947217874
336,MS-DAR-00004-000-00182_north,0.0005047966968261232
337,MS-DAR-00048-000-00211_south,0.0005061394036051421
338,MS-DAR-00053-00001-000-00284_south,0.0005061864320055288
339,MS-DAR-00085-000-00201_south,0.0005064838415488713
340,MS-DAR-00057-000-00071_south,0.0005068537281032107
341,MS-DAR-00205-00007-000-00173_north,0.0005109344190294405
342,MS-DAR-00004-000-00092_south,0.0005117234038970494
343,MS-DAR-00081-000-00179_south,0.0005121549220711485
344,MS-DAR-00090-000-00014_south,0.0005140303037553057
345,MS-DAR-00012-000-00350_south,0.0005150755745722812
346,MS-DAR-00157-000-00060_south,0.0005154178664043414
347,MS-DAR-00209-00015-000-00084_north,0.0005174040734507432
348,MS-DAR-00185-000-00363_north,0.0005175370943382036
349,MS-DAR-00080-000-00403_south,0.0005195153297601607
350,MS-DAR-00205-00009-000-00586_north,0.0005203654071547371
351,MS-DAR-00003-000-00477_south,0.0005205709181057556
352,MS-DAR-00209-00009-000-00141_north,0.0005207441537200691
353,MS-DAR-00084-00001-000-00077_south,0.0005208898093876469
354,MS-DAR-00053-00001-000-00052_south,0.0005220849003188683
355,MS-DAR-00205-00002-000-00563_south,0.0005237209347415605
356,MS-DAR-00087-000-00128_north,0.0005257593146514129
357,MS-DAR-00053-00001-000-00502_north,0.0005260700340260436
358,MS-DAR-00209-00005-000-00316_north,0.0005281666709191973
359,MS-DAR-00004-000-00242_north,0.0005311611012129491
360,MS-DAR-00012-000-00232_south,0.000532346440310329
361,MS-DAR-00047-000-00386_south,0.0005338168540419645
362,MS-DAR-00209-00014-000-00249_north,0.0005354196875492637
363,MS-DAR-00090-000-00013_south,0.000535677433464106
364,MS-DAR-00012-000-00322_south,0.0005376987797100816
365,MS-DAR-00085-000-00200_south,0.0005389598682513585
366,MS-DAR-00004-000-00234_south,0.0005397014704838483
367,MS-DAR-00004-000-00198_north,0.000540813221303965
368,MS-DAR-00083-000-00259_north,0.000542490496010157
369,MS-DAR-00012-000-00216_south,0.0005433570499627597
370,MS-DAR-00053-00001-000-00036_south,0.0005440091705476803
371,MS-DAR-00185-000-00538_north,0.0005449486617034283
372,MS-DAR-00080-000-00402_south,0.0005455858096428892
373,MS-DAR-00126-000-00033_south,0.0005468969725556069
374,MS-DAR-00053-00001-000-00067_south,0.0005480481829779956
375,MS-DAR-00047-000-00473_north,0.0005481078659361539
376,MS-DAR-00053-00001-000-00257_north,0.000548320075031538
377,MS-DAR-00048-000-00211_north,0.0005483913368921581
378,MS-DAR-00003-000-00515_south,0.0005485681762353238
379,MS-DAR-00004-000-00586_north,0.0005488275278041451
380,MS-DAR-00205-00003-000-00581_south,0.0005490578872092057
381,MS-DAR-00209-00010-000-00166_south,0.0005495173562159841
382,MS-DAR-00205-00007-000-00570_north,0.0005509507631458843
383,MS-DAR-00209-00009-000-00061_north,0.0005524192344670658
384,MS-DAR-00012-000-00325_south,0.0005528837401135811
385,MS-DAR-00082-000-00117_north,0.000553221536232637
386,MS-DAR-00205-00009-000-00833_south,0.0005540449323748809
387,MS-DAR-00003-000-00029_north,0.0005551263563384752
388,MS-DAR-00053-00001-000-00300_south,0.0005563448206025464
389,MS-DAR-00053-00001-000-00025_north,0.0005567774432423337
390,MS-DAR-00053-00001-000-00345_south,0.0005573721434598998
391,MS-DAR-00053-00001-000-00068_north,0.0005575921736922297
392,MS-DAR-00083-000-00344_south,0.0005595280030478804
393,MS-DAR-00205-00008-000-00136_north,0.0005598840550161226
394,MS-DAR-00003-000-00177_south,0.000560375579438172
395,MS-DAR-00004-000-00092_north,0.0005624793555876708
396,MS-DAR-00012-000-00290_north,0.0005628145542972492
397,MS-DAR-00209-00008-000-00202_south,0.0005634812472684849
398,MS-DAR-00084-00001-000-00111_north,0.0005641000614279555
399,MS-DAR-00206-000-00103_south,0.0005648007974611243
400,MS-DAR-00209-00001-000-00323_south,0.0005652394013696822
401,MS-DAR-00004-000-00230_north,0.000565473326625018
402,MS-DAR-00205-00002-000-00498_south,0.0005656348968186095
403,MS-DAR-00209-00001-000-00315_north,0.0005656524141008834
404,MS-DAR-00209-00001-000-00319_north,0.0005661107815889005
405,MS-DAR-00108-000-00369_south,0.0005685897387557392
406,MS-DAR-00012-000-00175_south,0.0005722958734985507
407,MS-DAR-00205-00009-000-00860_north,0.000572480957510658
408,MS-DAR-00053-00001-000-00340_north,0.0005733904218207762
409,MS-DAR-00069-000-00063_north,0.000573499404774289
410,MS-DAR-00083-000-00406_north,0.0005745685812004129
411,MS-DAR-00053-00001-000-00347_north,0.000575611708682219
412,MS-DAR-00012-000-00334_south,0.0005763088374618853
413,MS-DAR-00086-000-00130_north,0.0005764531674038981
414,MS-DAR-00004-000-00198_south,0.0005770544500414063
415,MS-DAR-00086-000-00216_south,0.0005784744437624465
416,MS-DAR-00012-000-00330_south,0.0005785206967843627
417,MS-DAR-00053-00001-000-00037_north,0.0005786306093148885
418,MS-DAR-00209-00001-000-00316_south,0.0005787232952557389
419,MS-DAR-00205-00002-000-00603_north,0.0005788153316865399
420,MS-DAR-00085-000-00228_south,0.0005792544109869501
421,MS-DAR-00090-000-00219_south,0.0005832427352042634
422,MS-DAR-00047-000-00113_south,0.0005843910344688109
423,MS-DAR-00080-000-00273_south,0.0005844189469351955
424,MS-DAR-00205-00009-000-00830_south,0.000584644085471586
425,MS-DAR-00209-00005-000-00203_north,0.000584725037292065
426,MS-DAR-00014-000-00157_south,0.000586478786189695
427,MS-DAR-00004-000-00182_south,0.0005865683911831886
428,MS-DAR-00069-000-00117_north,0.0005866359069383565
429,MS-DAR-00205-00003-000-00612_north,0.0005879248235349694
430,MS-DAR-00058-00001-000-00025_north,0.0005880625522118959
431,MS-DAR-00056-000-00159_south,0.0005885688996239808
432,MS-DAR-00053-00001-000-00042_north,0.0005900821862094691
433,MS-DAR-00209-00001-000-00152_north,0.0005902786648362677
434,MS-DAR-00185-000-00297_south,0.0005911640496757699
435,MS-DAR-00052-000-00204_north,0.0005913286490301253
436,MS-DAR-00157-00001-000-00219_north,0.0005914307829834427
437,MS-DAR-00081-000-00115_south,0.0005917476168997109
438,MS-DAR-00086-000-00239_north,0.0005922773247933824
439,MS-DAR-00085-000-00220_north,0.0005924090530737322
440,MS-DAR-00083-000-00342_south,0.0005943316357636182
441,MS-DAR-00157-00001-000-00015_south,0.0005958965024475226
