"Points:0","Points:1","Points:2"
212.5,1417,0
212.5,1418,0
212.5,1419,0
212.5,1420,0
212,1420.5,0
211.5,1421,0
211.5,1422,0
211.5,1423,0
211.5,1424,0
211.5,1425,0
211,1425.5,0
210.5,1426,0
210.5,1427,0
210.5,1428,0
210.5,1429,0
210.5,1430,0
210.5,1431,0
210.5,1432,0
210,1432.5,0
209.5,1433,0
209.5,1434,0
209.5,1435,0
209.5,1436,0
209,1436.5,0
208.5,1437,0
208.5,1438,0
208.5,1439,0
208.5,1440,0
208.5,1441,0
208,1441.5,0
207.5,1442,0
207.5,1443,0
207.5,1444,0
207.5,1445,0
207,1445.5,0
206.5,1446,0
206.5,1447,0
206.5,1448,0
206.5,1449,0
206,1449.5,0
205.5,1450,0
205.5,1451,0
205.5,1452,0
205.5,1453,0
205.5,1454,0
205.5,1455,0
205,1455.5,0
204.5,1456,0
204.5,1457,0
204.5,1458,0
204.5,1459,0
204,1459.5,0
203.5,1460,0
203.5,1461,0
203.5,1462,0
203.5,1463,0
203.5,1464,0
203,1464.5,0
202.5,1465,0
202.5,1466,0
202.5,1467,0
202.5,1468,0
202.5,1469,0
202,1469.5,0
201.5,1470,0
