file_name,eid,class_mark,sort_class_mark,orientation
137662,MS-DAR-00209-00015-000-00043.jpg,DAR 209.15: 23r,DAR 00209.00015: 00023R,r
138434,MS-DAR-00209-00015-000-00042.jpg,DAR 209.15: 22v,DAR 00209.00015: 00022V,v
137661,MS-DAR-00209-00015-000-00041.jpg,DAR 209.15: 22r,DAR 00209.00015: 00022R,r
138433,MS-DAR-00209-00015-000-00040.jpg,DAR 209.15: 21v,DAR 00209.00015: 00021V,v
137660,MS-DAR-00209-00015-000-00039.jpg,DAR 209.15: 21r,DAR 00209.00015: 00021R,r
138432,MS-DAR-00209-00015-000-00038.jpg,DAR 209.15: 20v,DAR 00209.00015: 00020V,v
137659,MS-DAR-00209-00015-000-00037.jpg,DAR 209.15: 20r,DAR 00209.00015: 00020R,r
138431,MS-DAR-00209-00015-000-00036.jpg,DAR 209.15: 19v,DAR 00209.00015: 00019V,v
137658,MS-DAR-00209-00015-000-00035.jpg,DAR 209.15: 19r,DAR 00209.00015: 00019R,r
138430,MS-DAR-00209-00015-000-00034.jpg,DAR 209.15: 18v,DAR 00209.00015: 00018V,v
137657,MS-DAR-00209-00015-000-00033.jpg,DAR 209.15: 18r,DAR 00209.00015: 00018R,r
138429,MS-DAR-00209-00015-000-00032.jpg,DAR 209.15: 17v,DAR 00209.00015: 00017V,v
137656,MS-DAR-00209-00015-000-00031.jpg,DAR 209.15: 17r,DAR 00209.00015: 00017R,r
138428,MS-DAR-00209-00015-000-00030.jpg,DAR 209.15: 16v,DAR 00209.00015: 00016V,v
137655,MS-DAR-00209-00015-000-00029.jpg,DAR 209.15: 16r,DAR 00209.00015: 00016R,r
138427,MS-DAR-00209-00015-000-00028.jpg,DAR 209.15: 15v,DAR 00209.00015: 00015V,v
137654,MS-DAR-00209-00015-000-00027.jpg,DAR 209.15: 15r,DAR 00209.00015: 00015R,r
138426,MS-DAR-00209-00015-000-00026.jpg,DAR 209.15: 14v,DAR 00209.00015: 00014V,v
137653,MS-DAR-00209-00015-000-00025.jpg,DAR 209.15: 14r,DAR 00209.00015: 00014R,r
138425,MS-DAR-00209-00015-000-00024.jpg,DAR 209.15: 13v,DAR 00209.00015: 00013V,v
137652,MS-DAR-00209-00015-000-00023.jpg,DAR 209.15: 13r,DAR 00209.00015: 00013R,r
138424,MS-DAR-00209-00015-000-00022.jpg,DAR 209.15: 12v,DAR 00209.00015: 00012V,v
137651,MS-DAR-00209-00015-000-00021.jpg,DAR 209.15: 12r,DAR 00209.00015: 00012R,r
138423,MS-DAR-00209-00015-000-00020.jpg,DAR 209.15: 11v,DAR 00209.00015: 00011V,v
137650,MS-DAR-00209-00015-000-00019.jpg,DAR 209.15: 11r,DAR 00209.00015: 00011R,r
138422,MS-DAR-00209-00015-000-00018.jpg,DAR 209.15: 10v,DAR 00209.00015: 00010V,v
137649,MS-DAR-00209-00015-000-00017.jpg,DAR 209.15: 10r,DAR 00209.00015: 00010R,r
138421,MS-DAR-00209-00015-000-00016.jpg,DAR 209.15: 9v,DAR 00209.00015: 00009V,v
137648,MS-DAR-00209-00015-000-00015.jpg,DAR 209.15: 9r,DAR 00209.00015: 00009R,r
138420,MS-DAR-00209-00015-000-00014.jpg,DAR 209.15: 8v,DAR 00209.00015: 00008V,v
137647,MS-DAR-00209-00015-000-00013.jpg,DAR 209.15: 8r,DAR 00209.00015: 00008R,r
138419,MS-DAR-00209-00015-000-00012.jpg,DAR 209.15: 7v,DAR 00209.00015: 00007V,v
137646,MS-DAR-00209-00015-000-00011.jpg,DAR 209.15: 7r,DAR 00209.00015: 00007R,r
138418,MS-DAR-00209-00015-000-00010.jpg,DAR 209.15: 6v,DAR 00209.00015: 00006V,v
138409,MS-DAR-00209-00015-000-00009.jpg,DAR 209.15: 6r,DAR 00209.00015: 00006R,r
138417,MS-DAR-00209-00015-000-00008.jpg,DAR 209.15: 5v,DAR 00209.00015: 00005V,v
138484,MS-DAR-00209-00015-000-00007.jpg,DAR 209.15: 5r,DAR 00209.00015: 00005R,r
